Turkish,English
aslında,actually
dakika,minute
geldi,came
biliyorsun,you know
yoksa,or
üç,three
özür,apology
al,get
saat,hour
bence,in my opinion
neler,What
olmak,be
herkes,everyone
gerçek,real
ister,either
geliyor,coming
şunu,it
istiyorsun,Would you
para,money
yapıyorsun,you are doing
onunla,with him
uzun,long
emin,sure
işte,Request
bakalım,let's see
onlar,them
bugün,today
miyim,Can I
bekle,wait
yine,again
buradan,from here
nedir,what
ilk,first
pek,very
birkaç,a few
çocuk,child
yer,place
yere,place
birlikte,together
gidelim,lets go
hep,always
şekilde,the way
eve,home
sizin,your
söyledi,told
yıl,year
bırak,leave
çocuklar,children
olmaz,No way
zaten,already
burası,here
kaç,escape
hazır,ready
nereye,where
hepsi,all
olmalı,should be
dinle,listen
istemiyorum,I do not want
dilerim,I wish
lazım,necessary
etmek,to make
ilgili,about
kendini,itself
karşı,against
olduğu,that
söz,promise
az,little
eski,old
ediyorum,I would
kesinlikle,absolutely
anda,currently
fakat,but
tane,piece
benden,me
gerekiyor,need
aman,Oh
an,moment
bunlar,these
işe,if
işi,heat
birşey,something
istiyor,wants
yapmak,make
zor,hard
görmek,see
tatlım,sweetie
seviyorum,I love
İki,Two
misiniz,Are you
bundan,from this
diğer,other
kadın,woman
onlara,to them
kişi,person
yapma,making
oraya,to there
senden,from you
kabul,acceptance
elbette,of course
kontrol,control
kez,times
hoş,pleasant
hafta,week
yarın,tomorrow
gidip,go
özel,special
edin,Learn
zorunda,must
gereken,required
yanlış,false
yerde,in place
doktor,doctor
bakın,Look
sağ,right
dışarı,out
niye,why
ediyor,ediyor
gördüm,I saw
bazı,Some
kahretsin,damn
ihtiyacım,I need
geç,late
dr,dir
birini,one
eminim,I am sure
sakin,do not
nereden,Where from
falan,like
mutlu,happy
dikkat,attention
dedim,I said
yemek,food
hem,and
gidiyor,going
ondan,from him
insan,human
musunuz,Do you
polis,police
ha,Ha
erkek,male
yalan,lie
gitti,gone
yalnız,alone
değildi,it was not
beri,since
beş,five
görüşürüz,See you
çabuk,quickly
insanlar,people
merak,wonder
etti,It has
babam,my father
haber,news
nefret,hate
gördün,you saw
umarım,I hope
sence,what do you think
dün,yesterday
öldü,died
değilsin,You are not
ateş,fire
veya,or
ah,Ah
sanki,if
dolar,dollar
yaptım,I did
geçen,last
ayrıca,also
tanrı,God
kes,cut
jack,jack
yap,do
sabah,morning
etme,to
olduğumu,I have
kendine,yourself
kendimi,Myself
karar,decision
yerine,instead
aptal,silly
üzerinde,over
istediğim,I want
dört,four
bunları,these
su,That
sonunda,finally
hâlâ,still
vardır,has
akşam,evening
yeter,enough
yaptın,you did
adı,First Name
tamamen,completely
boyunca,throughout
hangi,which
olmuş,dead
ay,moon
farklı,different
pekâlâ,all right
kal,remain
olması,being
olamaz,can not
adamım,man
bitti,it's over
açık,open
ettim,I have
bende,Me too
beraber,together
söyledim,I told
yol,way
neyse,anyways
adamı,man
bazen,sometimes
tarafından,by
İlk,First
adım,step
olursa,should
john,John
aldım,I got
oldukça,quite
annem,My mother
tabi,subject
yüzünden,because
birisi,someone
konuşmak,talk
fark,difference
buldum,I found
cevap,reply
zamanı,the time
henüz,yet
kolay,easy
olmadığını,whether
yapıyor,doing
saniye,second
gitmek,go
mükemmel,excellent
gelecek,the future
öyleyse,then
aç,hungry
yoktu,did not have
sahip,owner
yanında,beside
yolu,way
ise,if
onların,they
dedi,said
sakın,do not
içeri,inside
kan,blood
uzak,far
görünüyor,it seems
olun,be
bilirsin,you know
başına,per
oldum,became
durum,status
bebeğim,my baby
sanmıyorum,I do not think so
olsa,Although
yardımcı,helper
anlıyorum,I understand
düşünüyorsun,you are thinking
eder,it
genç,young
neredeyse,almost
ara,Search
geldim,I came
araba,car
almak,receive
söylemek,say
adamın,the man
halde,although
evde,at home
yeniden,again
dünya,world
günü,day
altında,under
konusunda,about
yaptı,made
takip,follow
süre,time
dersin,of course
miyiz,Can
galiba,probably
on,front
hızlı,fast
göz,eye
istedim,I wanted
konuda,subject
herhangi,any
azından,least
komik,funny
düşündüm,I thought
söylüyor,says
oğlum,son
duydum,I heard
evlat,child
çocuğu,children
işin,ray
silah,weapon
hepimiz,we all
şuna,following the
çalışıyorum,I am working
ancak,but
ciddi,serious
herif,guy
vay,Wow
hayatım,sweetheart
ev,home
kaldı,stayed
boş,null
gidiyorum,I'm going
çıktı,output
sende,cents to
altı,six
şeyin,thing
hava,air
savaş,war
bin,thousand
rahat,comfortable
garip,strange
hayatta,in life
olacağım,I will be
oyun,game
olduğuna,that
kimin,whose
bebek,baby
düşünüyorum,I'm thinking
alo,Hello
gelen,incoming
hareket,movement
arada,between
hayal,dream
soru,question
yakın,near
in,of
yaptığını,do that
el,hand
gidiyoruz,We are going
çalışıyor,working
kapıyı,the door
hayat,life
gelip,to come
başladı,started
telefon,telephone
güçlü,strong
new,new
muhtemelen,probably
verdi,gave
nasılsın,how are you doing
durumda,in the case
çeneni,up
sürü,herd
böylece,so
yeterince,enough
be,ba
şaka,joke
şeye,thing
ihtiyacı,need
haklısın,You are right
ait,belonging to
arkadaşım,friend
acele,rush
durun,stay
anladım,understood
beyler,gentlemen
verin,give
yolunda,right
kesin,exact
varsa,If
olacağını,would be
üzerine,over
şeyleri,things
dışında,outside
iyiyim,I'm fine
baban,your father
gizli,hidden
bilmek,know
birinin,one's
kısa,short
ortaya,out
hepsini,all
çıkar,interest
olay,event
beyaz,white
dans,dance
zarar,damage
kardeşim,my brother
arasında,between
geldin,You came
kapa,Collapse
hatta,even
gidiyorsun,You are going
gelir,income
günaydın,Good Morning
olmadan,without
yapacağım,I will do
verdim,I gave
memnun,satisfied
kızı,daughter
olmayacak,will be
geceler,nights
tür,type
geçti,passed
veriyorum,I am giving
yapamam,I can not do
uygun,appropriate
sam,Sam
sanıyorsun,You thought you
terk,abandonment
neyi,what
sanıyordum,I thought
sevindim,I'm glad
etmeye,Do not
kere,times
sürekli,continuous
ölü,dead
fikir,idea
değildir,it is not
tahmin,guess
neydi,what was it
canım,My dear
yüksek,high
korkunç,terrible
zamanda,time
yaşlı,old
sensin,you
hissediyorum,I am feeling
güle,bye
olmadı,It was not
ölüm,death
İçeri,Inside
herşey,everything
mısınız,Are you
sağol,thanks
aldı,took
dolu,full
gerektiğini,ought
çeviri,Translation
anladın,you understand
çık,exit
acaba,I wonder
olurdu,it would be
gelin,bride
ihtiyacın,Your need
parayı,money
içine,into
ihtiyacımız,we need
rahatsız,uncomfortable
güvenlik,security
neyin,what
edecek,will
acı,pain
biliyordum,I knew
ediyorsun,you're
diyorsun,you say
bırakın,release
hasta,patient
çek,Check
geliyorum,I am coming
üzere,in
bizimle,with us
milyon,million
sizinle,With you
mümkün,possible
tuhaf,strange
yakında,soon
annen,mother
dön,frost
affedersiniz,Excuse me
charlie,charlie
eden,community
yemin,oath
berbat,wretched
dedin,you said
dikkatli,careful
dünyanın,the world
siktir,Fuck
ana,mother
frank,franc
otur,sit down
aşağı,down
yapacağız,we will do
burda,here
normal,normal
yapacak,will make
şöyle,As
vermek,give
dışarıda,outside
yapmaya,making
yapıyorum,I'm doing
başkan,president
varmış,had
olmayan,non-
anlaşıldı,roger
istedi,wanted
deli,mad
yukarı,up
belli,certain
şans,chance
birine,to someone
söyledin,You said
at,horse
istediğini,he wanted
oradan,from there
kaptan,captain
tatlı,dessert
dek,until
michael,michael
seks,sex
pardon,pardon
istersen,if you want
duydun,you heard
bilmem,I do not know
nefes,breath
yapar,makes
güç,power
hata,error
getir,bring
olup,The
ettin,you've
keşke,if only
insanların,peoples
bununla,With this
tut,Keep
bi,one
yalnızca,Only
biliyoruz,we know
inanamıyorum,I cant believe
koca,husband
ajan,agent
kahve,coffee
benziyor,looks like
neye,what
herşeyi,everything
isterim,I want
sefer,expedition
evine,house
yeri,place
görüyorum,I see
basit,simple
herkesin,everybody's
kızlar,girls
hayatını,his life
üstüne,over
durumu,status
yavaş,slow
İnsanlar,People
aile,family
tehlikeli,dangerous
dalga,wave
baş,head
aldın,lower
bayım,sir
millet,nation
yaşında,aged
ufak,small
bilgi,information
ele,addressed
buradayım,buradayım
yeterli,enough
aynen,exactly
gidin,Go
yıldır,years
bunların,these
miydi,was
olası,possible
zamandır,time
herhalde,I suppose
george,George
ahbap,buddy
sessiz,quiet
köpek,dog
kahrolası,goddamn
alıp,take
sıcak,hot
temiz,clean
olmalısın,You should be
yüz,face
görünüyorsun,you look
önünde,in front of
arkadaş,friend
olmasını,not the
dair,about
bilmiyor,he does not know
görüyor,sees
anlamıyorum,I do not understand
hoşça,nicely
vakit,time
yapmam,I do not
söylüyorum,I say
yedi,seven
olacaksın,you will be
düşünüyor,think
söylemiştim,I say
doğum,birth
adını,name
olduğun,you are
yapacaksın,you do
diyorum,I say
tom,tom
düşün,think
diyor,says
buldun,you found
alın,Learn
erken,early
ses,sound
konu,subject
acil,urgent
istediğin,you want
bilemiyorum,I do not know
kızım,my daughter
haklı,right
kimsenin,anyone
adına,in the name of
sesini,your voice
mıydı,was
olsaydı,had
ikinci,second
bulmak,find
tıpkı,just as
yerinde,in place
gitmem,I dont go
uyuşturucu,drug
aşk,love
sonraki,next
peter,Peter
işler,works
canlı,Alive
birden,suddenly
ta,t
çekil,get out
yoktur,There is no
olduğum,I'm
bilmiyordum,I did not know
numara,number
üstünde,on
bilir,knows
orospu,bitch
insanları,people
edeceğim,I will make
arkadaşın,your friend
alabilir,can take
hatırlıyor,remember
hak,right
bakma,do not look
almaya,take
gerçeği,truth
cinayet,murder
yerini,place
kendisi,itself
asıl,noble
yaparım,I do
birçok,many
kızın,your daughter
muhteşem,spectacular
görünüşe,appearance
öldürmek,kill
oda,room
kırmızı,red
söyleme,mention
gelmiş,have come
film,film
kimsin,who are you
evi,the House
pislik,dirt
bahsediyorsun,talking about
kalk,get up
sıkı,tight
bekliyor,waiting
İşe,If
unutma,forgetting
buradaki,here
işim,name
mesaj,message
zavallı,poor
fena,bad
güvenli,safe
istiyorsan,if you want
kimseye,anyone
yürü,walk
anlat,tell
söylüyorsun,you say
bağlı,connected
biriyle,with a
verir,gives
şarkı,song
konuşma,talk
olmaya,not to
içki,drink
işini,Your job
birşeyler,something
david,david
the,the
parti,party
sonsuza,infinity
harry,harry
onlardan,from them
sonu,end
zamanlar,times
sebep,reason
saçma,absurd
adamlar,men
yanına,next
geldik,we came
anlamı,meaning
parçası,Part of it
olduğundan,because
bulduk,we found
silahı,weapon
yapabilirim,I can
gerekir,must
yapalım,let's do
bayanlar,ladies
alacağım,I will
özellikle,especially
alan,domain
rağmen,despite
anlıyor,understands
sevgili,dear
ölmüş,dead
tercih,choice
sayın,Dear
değiliz,We are not
aşkına,sake
yaptığı,his
babası,father
suç,crime
yemeği,food
burayı,here
gayet,very
umurumda,care
general,general
bok,shit
bizden,U.S
elinde,in your hand
dürüst,honest
sıra,desk
İyiyim,I'm fine
joe,joe
kusura,defect
yapan,who
kalan,remaining
affedersin,sorry
eğlenceli,enjoyable
kayıp,lost
gerekiyordu,It was supposed
dolayı,because
yaptığın,you do
onlarla,with them
defa,times
çocukları,children
olma,being
takım,team
sert,hard
teklif,bid
de,also
seviyor,love
bekleyin,wait
teslim,delivery
babamın,my fathers
çalışıyorsun,Are you trying
soğuk,cold
katil,join
yaşıyor,lives
iyisi,good
sebebi,reason
çoğu,most
söyleyeyim,Let me tell
istemiyor,does not want
gitsin,let go
james,james
baksana,heigh
şeyden,the thing
gurur,pride
tanıyor,knows
geldiniz,welcome
arkadaşı,his friend
mike,mike
alır,gets
siyah,black
göster,show
edebilir,is able to
canına,dear to
şehir,city
kapı,gate
patron,boss
istiyoruz,we want
tarafa,party
anlaşma,contract
geldiğini,that came
dinleyin,listen
eskiden,formerly
görmedim,I did not see
yarım,my love
fikrim,my idea
ın,of
duyuyor,hears
altına,under
olmasın,whether
demektir,means
arabayı,car
yo,you
günler,days
sene,year
süper,super
niçin,why
orası,there
salak,idiot
adama,man
yola,way
çocuğun,the child
kendim,myself
davet,invitation
zorundayım,I have to
düşünüyordum,I was thinking
yapmış,made
kendime,to myself
hale,halo
kalmak,stay
gelmek,come
yaptığım,I made
öğrenmek,learn
müzik,music
sona,ends
kalp,heart
okul,school
aşık,in love
kalın,thick
istemedim,I did not want
çoktan,already
ağır,heavy
arka,back
noel,Christmas
iç,inner
iyilik,favor
serbest,independent
hepiniz,all of you
taraftan,from the side
şef,chef
görmeye,seeing
istemem,I do not want
ellerini,your hands
hoşuma,I liked
bul,find
çeşit,kind
sekiz,eight
bakayım,Let me see
herkese,to everyone
olayı,event
ilginç,interesting
aferin,Well done
sahibi,owner
dan,from
günün,your day
verici,transmitter
hatırlıyorum,I remember
vereceğim,I will give
konuş,Talk
mavi,blue
kitap,book
kavga,fight
getirdim,I brought
istiyorsunuz,Would you
çekilin,the retreat
gider,expense
telefonu,phone
bira,beer
şimdiye,now
anlamına,meaning
birileri,someone
gitmeliyim,I must go
İş,Business
resmi,formal
görev,task
baylar,gentlemen
nedeni,Reason
güneş,sun
güven,confidence
duymak,hear
herkesi,everyone
isim,name
paul,paul
dünyada,in the world
sigara,cigaret
dedektif,detective
oldun,you have
la,la
düşünmüştüm,I think
severim,I like it
üçüncü,third
gidecek,will go
kral,king
olanlar,Those
aptalca,stupid
zengin,rich
jimmy,jimmy
ifade,expression
elini,your hand
cehenneme,hell
olabilirim,I can
kapat,Close
parça,piece
mesela,for example
cidden,really
sırada,Ranked
veriyor,giving
kadınlar,women
adın,your name
kimseyi,anyone
dua,prayer
amerikan,American
gerekli,necessary
önceki,previous
gittim,I went
edeyim,I will
söylemiştin,tell you
isterdim,I would like to
yaklaşık,about
yapmayı,making
kara,black
olman,Do not be
dava,case
yüzbaşı,captain
yapabilir,can
kendin,yourself
yıllar,years
gir,enter
kelime,word
sık,stylish
zeki,clever
karanlık,dark
vakti,time
yazık,pity
tanıyorum,I know
alıyorum,I'm buying
olacağız,We will be
karım,my wife
tebrikler,congratulations
albay,colonel
bob,boB
başıma,my head
saçmalık,bullshit
koy,Bay
verdin,you gave
unut,forget
etmiş,meat
kaldım,I stayed
yapıyorsunuz,you do
kutsal,sacred
yapıyoruz,we do
duyuyorum,I hear
öldürdü,killed
ray,rail
ön,front
yaşam,life
hayatı,vital
kadının,woman
hikaye,story
un,Fame
geriye,back
üst,top
söyleyeceğim,I will say
alıyor,taking
isteyen,want
birazdan,soon
değer,value
kimi,who
defol,get out
şanslı,lucky
suçlu,guilty
tamamdır,it is okay
uh,uh
hoşuna,welcome to the
satın,buy
saygı,respect
yapmadım,I did not
edelim,let's
sizden,from you
almış,received
hayatımı,my life
sürece,as long as
çift,double
olmayı,to be
çalışan,working
çıkıp,out
birinci,first
tony,tony
hediye,gift
İkinci,Second
kişisel,personal
gördüğüm,I have seen
ettiğini,Watch it
ikna,persuasion
yolunu,path
mıyım,am I
altın,gold
farkında,aware
endişelenme,Do not worry
ee,ee
annesi,mother
götür,take
gerekecek,need
derece,degree
söyleyin,Tell
söyler,tell
balık,the fish
ortak,partner
ilgisi,interest
biliyorsunuz,you know
dışı,female
hayatın,Your life
bölüm,episode
yüce,sublime
işleri,jobs
danny,danny
duruyor,stands
gitme,do not go
arabaya,car
deniz,sea
güvende,in confidence
verme,supply
hanımefendi,lady
seksi,sexy
kalmadı,Sold Out
iyidir,is good
gideceğim,I will go
Sarah,Sarah
max,max
döndü,returned
park,Park
erkekler,men
kalacak,will stay
tehdit,threatening
elde,obtained
olduğumuzu,we are
Jake,Jake
arıyor,calling
korkarım,I am afraid
buralarda,here
çalıştım,I worked
ayak,foot
pis,filthy
yardıma,help
gitmiş,gone
verecek,will give
sesi,sound
yaşamak,live
yada,or
yoldan,the road
gücü,power
çıkmak,exit
İnsan,Human
hoşçakal,bye
polisi,police
okula,to school
yiyecek,food
inanılmaz,unbelievable
arıyorum,I'm looking for
alacak,credit
kulak,ear
mantıklı,sensible
şuraya,Distance
kafa,head
bilmiyorsun,You do not know
oyunu,game
Alex,Alex
bildiğim,I know
ayağa,foot
etmez,does not
önceden,previously
clark,clarke
olurum,I will be
tarafta,on the side
sol,left
kadını,woman
yaz,summer
muydu,was
da,in
mal,goods
dene,try
teğmen,lieutenant
ortadan,the middle
Bill,Bill
yaptık,we did
nesi,What
insanlara,to people
geldiğinde,when
haline,into
ikiniz,both of you
istersin,you want
zorundasın,you have to
Jim,Jim
zamanlarda,in time
istediğimi,I want
giden,outgoing
gördünüz,You saw
şanslar,luck
açın,open
test,test
eee,eee
yaramaz,naughty
degil,not
korumak,protect
ediyoruz,we do
müthiş,terrific
henry,Henry
ciddiyim,I am serious
buydu,This was
dünyayı,the world
destek,support
alt,lower
kaza,accident
yapabilirsin,you can
istediği,wanted
olanları,ones
sorunu,problem
yapman,do not
yolda,on the road
mary,Mary
sıradan,ordinary
yanımda,by my side
vur,hit
babanın,father
paris,Paris
yoluna,way to
asker,soldier
yerden,from the ground
sahi,actually
afedersiniz,sorry
parmak,finger
aradı,called
plan,plan
nerde,where
gibiydi,it seemed to
gösteriyor,is showing
evin,your house
kalsın,Keep
neredesin,where are you
olmadığı,it is not
elimden,stripped
yıldız,star
aşırı,extreme
edip,whether
peder,father
edersin,edersin
adamla,man
sarhoş,drunk
veririm,I give
muydun,Did you
edildi,It was
kapalı,closed
gerekirse,if necessary
gemi,ship
buradasın,you are here
önemi,the importance
hayvan,animal
metre,meter
kat,floor
sevdim,I loved
gelmiyor,does not come
çavuş,Sergeant
hani,behold
orda,there
tedavi,treatment
sorunun,the problem
iğrenç,disgusting
sahte,fake
baştan,all over
istiyorlar,they want
grup,group
gözlerini,your eyes
olabilirsin,you can be
sürpriz,surprise
yarısı,half
bomba,bomb
öldürmeye,kill
sanmıştım,I think
muyum,am I
arkasında,behind
çıkıyor,turns out
ye,eat
türlü,various
gitmeliyiz,we should go
sever,lovers
derin,deep
olmam,I have
san,singing
olduğunda,when
söylemişti,he said
ders,lesson
güzeldi,it was nice
johnny,johnny
başlıyor,starting
edebilirim,I can
olduğunuzu,be you
inanıyorum,I believe
annemin,my mom's
arıyorsun,are you looking
bazıları,some
konuşuyor,speaking
kalmış,I have stayed
piç,Bastard
başladım,I started
başarılı,successful
konuşabilir,can speak
oturup,sit
koş,rushed
etmeyi,Do not
geleni,from the
ikimiz,the two of us
elimizde,our hands
günde,day
uçak,airplane
getirin,bring the
tutun,tobacco
uyan,wake up
şeker,candy
nasıi,How
miydin,Did you
rica,request
evli,The married
yeşil,green
genelde,usually
alırım,I get
öylece,just
adamları,men
anlamadım,I did not understand
bayağı,pretty
üzgün,sad
buz,ice
bekliyorum,I'm waiting
elimde,in my hand
İsa,Jesus
olanı,with
değerli,valuable
arama,search
zorundayız,We have
daima,always
teki,one of
çalış,Work
konuyu,subject
ararım,I'll call
yatak,bed
buldu,found
şimdilik,for now
özgür,free
hapse,jail
aramızda,in our midst
akıllı,smart
olsam,I would
rüya,dream
olduklarını,they are
akşamlar,evenings
girdi,entry
mıyız,Are we
allah,God
ziyaret,visit
gelmedi,did not come
yazıyor,he is writing
profesör,professor
hamile,pregnant
geçiyor,passing
giriş,login
richard,richard
etmeyin,Do not
araya,together
havaya,up
kaybettim,I lost
diğerleri,others
korkuyorum,I'm afraid
kadarıyla,as far as
dahil,including
değildim,I was not
kaldır,remove
Chris,Chris
gittiğini,Go to it
zayıf,weak
kafayı,head
söylediler,they said
derhal,immediately
söyleyecek,will say
çocukların,children
evinde,house
hiçbirşey,nothing
mesele,issue
alayım,alayım
avukat,Lawyer
insanın,people
doğal,natural
hazırım,I am ready
sandım,I thought
bilim,science
anlama,understanding
oğlu,son-
konuşmaya,to talk
güney,South
ailesi,family
aldık,We received
ailem,parents
sonuna,to the end
imkansız,impossible
yemeğe,eat
los,loess
şurada,there
aklıma,to my mind
söylemem,I say
dokuz,nine
York,York City
kurtarmak,rescue
ölmek,die
dünyaya,to the world
bunlardan,of them
düştü,fell
com,com
iyiydi,good
Billy,Billy
çalışma,work
zamana,time
Eric,Eric
Nick,Nick
demiştim,I said
ileri,Further
odasında,in room
geçmiş,past
silahını,the weapons
dönmek,return
beyin,brain
iptal,cancel
kime,to who
çekici,attractive
şeytan,Satan
kuzey,North
çalışmak,work
etrafta,around
hedef,target
majesteleri,Your Majesty
sayılmaz,does not count
cep,pocket
İşin,Ray
jerry,Jerry
askeri,military
konuştum,I talked to
aradım,I called
mark,marker
numaralı,numbered
fazlasını,more
tanrı'nın,the gods
hizmet,service
saldırı,attack
işten,fired
önüne,before
hayatımın,my life
gelebilir,may come
olmasına,not to
aşağıda,below
chuck,chuck
domuz,pig
adil,fair
öldürdün,you killed
topu,ball
yaptığımı,do what I
diyeceğim,I say
top,ball
süredir,time is
söylemedim,I do not say
memur,officer
sor,sir
başlayalım,lets start
ismi,Browse
gibisin,You seem
sevdiğim,Favorite
başı,head
bahse,bet
şansı,chance
deme,do not say
evden,house
söylediğim,I say
söylemeye,tell
can,Bell
yapın,Make
bilmiyoruz,We do not know
kenara,aside
İzin,Permission
charles,charles
will,will
alman,German
not,note
ışık,light
kulağa,ear
istedin,did you
zevk,taste
kurban,victim
ettik,I've
başla,Start
etmem,I would not
zamanında,on time
yüzünü,his face
gelmez,does not
oturun,sit down
kızgın,angry
mr,m
girmek,enter
fbi,FBI
çay,tea
ederiz,we will
yaşayan,live
harekete,motion
çıkmış,out
kardeşin,brother
görmüş,have seen
sırasında,during
hatırladın,remind
saatte,hours
angeles,angeles
bobby,bobby
sıkıcı,boring
şerif,Sheriff
şarap,wine
hallederim,I got
bilgisayar,computer
gideceğiz,we will go
düzgün,smooth
kate,catenin
walter,walter
sağlam,sturdy
hayir,no
kahraman,hero
hastaneye,to hospital
tamir,repair
resim,picture
araştırma,research
çılgın,crazy
nasılsınız,nasılsınız
mektup,letter
olacaktır,will be
sevgilim,my darling
yabancı,foreign
olabileceğini,might
yan,side
sayesinde,thanks to
çıkarın,Disconnect
andy,andy
zamandan,time
polisler,police officers
kıçını,ass
ruh,soul
çıkan,outgoing
yarı,half
yapayım,Shall I
ünlü,famous
haberi,news
problem,problem
işine,job
İnsanların,Peoples
karısı,his wife
seçim,selection
kurşun,bullet
öldür,kill
kanıt,evidence
yakışıklı,handsome
savunma,defense
İnanılmaz,Unbelievable
başa,head
hatırlamıyorum,I do not remember
bıraktım,I left
tarafı,side
uzakta,away
geride,back
oynamak,play
işaret,mark
bakmak,look
rapor,report
bağlantı,connection
söylemedin,you did not tell
meşgul,busy
ikisi,the two
başlıyoruz,we begin
birer,a
kişinin,the people
fırsat,opportunity
masum,innocent
karın,abdomen
sorumlu,responsible
yana,sideways
izi,trail
ters,reverse
gerekmiyor,You do not need
aklını,your mind
göstermek,show
çıplak,naked
geçiyorsun,are you kidding me
bölge,region
getirdi,brought
kısmı,partial
eddie,eddie
olursun,you'd
fikrin,the idea
tommy,tommy
binlerce,thousands
cinsel,sexual
girecek,will enter
itiraf,confession
der,says
başında,early
don,frost
çıkın,Quit
peşinde,behind
bulmaya,find
babamı,my father
Rachel,Rachel
parasını,money
kardeş,brother
değiller,They are not
gelince,as for
oradaki,there
yapabiliriz,we can
diyelim,let's say
boktan,shitty
nasıldı,how was it
ceset,body
elinden,the hand
dönüp,return
kuş,bird
anlaştık,agreed
e,to
iyisini,the best
kocaman,huge
yapacağımı,to do
biliyordu,he knew
dünyadaki,around the world
göremiyorum,I can not see
jane,jane
odasına,room
söylerim,I say
olmuyor,It is not
epey,quite
veren,that
brian,brian
ettiğim,I've
larry,larry
kiminle,with whom
olmuştu,had been
etmiyor,does not
dönerim,I'll be back
birazcık,a little
suyu,water
yapmamız,we do
bey,bey
taş,rock
öğle,noon
orta,middle
bıraktı,he left
engel,obstacle
yapmamı,make my
yerlerde,places
çalışıyoruz,we are working
yapamazsın,You can not
sey,thing
claire,claire
girip,enter
hariç,excluding
aşağıya,down
spor,Sport
bol,plenty
İmdat,Help
görüyorsun,you see
sınıf,class
odada,in the room
kitabı,book
evlilik,marriage
nerden,where
iyice,thoroughly
sizce,what do you think
geleceğim,My future
ortada,in the middle
emir,order
şükür,Thank god
uzay,space
steve,steve
veremem,can not give
edeceğiz,We will
futbol,football
kilo,weight
adında,named
william,william
özledim,I missed
ayrı,separate
filmi,film
robert,robert
yüzde,percent
ediyorlar,they're
hangisi,which
birbirimize,each other
numarası,its number
çalışıyordum,I was working
üzüldüm,I'm sorry
te,t
hmm,hmm
te,t
bakıyorum,I'm looking
sır,secret
yukarıda,above
dokunma,Do not touch
kör,blind
buradayız,we are here
yaparsın,you do
verdiği,tweaking
İnan,Believe
canını,canını
değilse,if not
konusu,subject
yağmur,rain
yat,yacht
çıkış,exit
İstediğin,You want
odası,room
enerji,energy
ihtiyaç,need
amca,uncle
öğrendim,I learned
düşman,foe
sistemi,system
benzer,similar
edemem,I can not
şüpheli,suspicious
arabada,In the car
annenin,your mother's
zamanki,the time
dönüyor,returns
hayatının,of life
öldürecek,will kill
fazlası,more than
afedersin,sorry
kızla,girl
arasındaki,between
lan,man
girin,enter
İçinde,In
gördü,he saw
arkadaşlar,friends
çirkin,ugly
Ryan,Ryan
fotoğraf,photo
döneceğim,I will come
hayatımda,in my life
kedi,cat
kişiyi,people
buyurun,Help yourself
ilaç,medicine
mutluyum,I'm happy
sırf,sheer
cesur,brave
birbirimizi,each other
öldüğünü,he died
umut,hope
bilirim,I know
gittin,you went
sinir,boundary
arayıp,call
yapacağını,would do
tutmak,keep
bırakıp,leave
konuşalım,Let's talk
budur,This is
konuşmayı,speech
doğu,East
zamanımız,our time
dediğim,I also
sıradaki,Next
cuma,Friday
hayalet,ghost
edeceksin,you're going
dave,dave
geleceğini,the future
